iter	Passed	Remaining
978	274271	5883
979	274424	5600
980	274576	5318
981	274727	5035
982	274884	4753
983	274995	4471
984	275106	4189
985	275233	3907
986	275388	3627
987	275535	3346
988	275656	3065
989	275768	2785
990	275889	2505
991	275967	2225
992	276052	1945
993	276110	1666
994	276172	1387
995	276225	1109
996	276284	831
997	276336	553
998	276389	276
999	276454	0
